20:36:29  > Machine.powerOn()                   | First boot of engima machine
20:36:29  > Machine.InitialseCogs()             | Got cog settings from user
20:36:29  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
20:36:29  > Machine.InitialseUKW()              | Got reverser settings from user
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 12(M)
20:36:29  > FullPassThrough()                   |  - 12(M) > [COG 0 -F] > 4(E)
20:36:29  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 0(A)
20:36:29  > FullPassThrough()                   |  - 0(A) > [COG 2 -F] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [UKW] > 23(X)
20:36:29  > FullPassThrough()                   |  - 23(X) > [COG 2 -R] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [COG 1 -R] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [COG 0 -R] > 20(U)
20:36:29  > FullPassThrough()                   |  - 20(U) > [Switchboard-R] > 25(Z)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 6(G)
20:36:29  > FullPassThrough()                   |  - 6(G) > [COG 0 -F] > 13(N)
20:36:29  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 23(X)
20:36:29  > FullPassThrough()                   |  - 23(X) > [COG 2 -F] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [UKW] > 1(B)
20:36:29  > FullPassThrough()                   |  - 1(B) > [COG 2 -R] > 12(M)
20:36:29  > FullPassThrough()                   |  - 12(M) > [COG 1 -R] > 7(H)
20:36:29  > FullPassThrough()                   |  - 7(H) > [COG 0 -R] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [Switchboard-R] > 4(E)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [COG 0 -F] > 4(E)
20:36:29  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 0(A)
20:36:29  > FullPassThrough()                   |  - 0(A) > [COG 2 -F] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [UKW] > 23(X)
20:36:29  > FullPassThrough()                   |  - 23(X) > [COG 2 -R] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [COG 1 -R] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [COG 0 -R] > 1(B)
20:36:29  > FullPassThrough()                   |  - 1(B) > [Switchboard-R] > 16(Q)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
20:36:29  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 24(Y)
20:36:29  > FullPassThrough()                   |  - 24(Y) > [COG 1 -F] > 7(H)
20:36:29  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 14(O)
20:36:29  > FullPassThrough()                   |  - 14(O) > [UKW] > 12(M)
20:36:29  > FullPassThrough()                   |  - 12(M) > [COG 2 -R] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [COG 1 -R] > 25(Z)
20:36:29  > FullPassThrough()                   |  - 25(Z) > [COG 0 -R] > 10(K)
20:36:29  > FullPassThrough()                   |  - 10(K) > [Switchboard-R] > 22(W)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [COG 0 -F] > 24(Y)
20:36:29  > FullPassThrough()                   |  - 24(Y) > [COG 1 -F] > 7(H)
20:36:29  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 14(O)
20:36:29  > FullPassThrough()                   |  - 14(O) > [UKW] > 12(M)
20:36:29  > FullPassThrough()                   |  - 12(M) > [COG 2 -R] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [COG 1 -R] > 25(Z)
20:36:29  > FullPassThrough()                   |  - 25(Z) > [COG 0 -R] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [Switchboard-R] > 2(C)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
20:36:29  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 14(O)
20:36:29  > FullPassThrough()                   |  - 14(O) > [COG 1 -F] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [COG 2 -F] > 0(A)
