12:02:10  > Machine.powerOn()                   | First boot of engima machine
12:02:10  > Machine.InitialseCogs()             | Got cog settings from user
12:02:10  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
12:02:10  > Machine.InitialseUKW()              | Got reverser settings from user
12:02:10  > ------------------                  | 
12:02:10  > FullPassThrough()                   |  - Cog in position 1 Incremented
12:02:10  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 0(A)
12:02:10  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > 9(J)
12:02:10  > FullPassThrough()                   |  - 9(J) > [COG 1 -F] > 1(B)
12:02:10  > FullPassThrough()                   |  - 1(B) > [COG 2 -F] > 3(D)
12:02:10  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
12:02:10  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 3(D)
12:02:10  > FullPassThrough()                   |  - 3(D) > [COG 1 -R] > 2(C)
12:02:10  > FullPassThrough()                   |  - 2(C) > [COG 0 -R] > 5(F)
12:02:10  > FullPassThrough()                   |  - 5(F) > [Switchboard-R] > 5(F)
12:02:10  > ------------------                  | 
12:02:10  > FullPassThrough()                   |  - Cog in position 1 Incremented
12:02:10  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 0(A)
12:02:10  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > 10(K)
12:02:10  > FullPassThrough()                   |  - 10(K) > [COG 1 -F] > 11(L)
12:02:10  > FullPassThrough()                   |  - 11(L) > [COG 2 -F] > 21(V)
12:02:10  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
12:02:10  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 17(R)
12:02:10  > FullPassThrough()                   |  - 17(R) > [COG 1 -R] > 6(G)
12:02:10  > FullPassThrough()                   |  - 6(G) > [COG 0 -R] > 19(T)
12:02:10  > FullPassThrough()                   |  - 19(T) > [Switchboard-R] > 19(T)
12:02:10  > ------------------                  | 
12:02:10  > FullPassThrough()                   |  - Cog in position 1 Incremented
12:02:10  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 0(A)
12:02:10  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > 2(C)
12:02:10  > FullPassThrough()                   |  - 2(C) > [COG 1 -F] > 3(D)
12:02:10  > FullPassThrough()                   |  - 3(D) > [COG 2 -F] > 7(H)
12:02:10  > FullPassThrough()                   |  - 7(H) > [UKW] > 3(D)
12:02:10  > FullPassThrough()                   |  - 3(D) > [COG 2 -R] > 1(B)
12:02:10  > FullPassThrough()                   |  - 1(B) > [COG 1 -R] > 9(J)
12:02:10  > FullPassThrough()                   |  - 9(J) > [COG 0 -R] > -1(@)
12:02:10  > FullPassThrough()                   |  - -1(@) > [Switchboard-R] > 25(Z)
12:02:10  > ------------------                  | 
